District Name,District Code,Total # of Classes,Average Class Size,Number of Students,African American %,Asian %,Hispanic %,White %,Native American %,"Native Hawaiian, Pacific Islander %","Multi-Race, Non-Hispanic %"
Medfield,1750000,"1,475",17.5,"2,507",1.2,4.2,3.6,87,0.3,0,3.8
Medford,1760000,"2,194",13,"3,969",11.8,9.6,13.9,59.1,0.5,0.1,5
Medway,1770000,"1,215",15.9,"2,094",1.6,3.3,5.9,86.2,0.2,0.1,2.6
Melrose,1780000,"1,641",18.7,"3,691",6,6,5.4,76.8,0.1,0,5.6
Mendon-Upton,7100000,"1,163",15.2,"2,170",0.7,2.7,5.4,88.8,0.1,0,2.3
Methuen,1810000,"3,001",18.3,"6,572",3.8,3.7,46,42.6,0.1,0.1,3.9
Middleborough,1820000,"1,688",16,"2,922",2.5,1.1,2.8,88,0.6,0,5
Middleton,1840000,362,13.9,682,1.5,4.4,5.4,84.5,0.6,0.2,3.5
Milford,1850000,"2,895",11.3,"4,329",3.3,1.4,31.7,58.8,1.4,0.1,3.4
Millbury,1860000,782,16.7,"1,533",3.5,3.4,8.4,78.9,0,0.1,5.8
Millis,1870000,586,16.1,"1,172",1,2.6,8.1,83.7,0.3,0.2,4.1
Milton,1890000,"2,244",17.3,"4,343",13.2,7.5,5.1,68.5,0.1,0.1,5.5
Minuteman Regional Vocational Technical,8300000,499,12.8,627,3.7,3.8,7.7,79.4,0.3,0,5.1
Mohawk Trail,7170000,452,9.2,747,0.3,0.1,5,92,0,0,2.7
Monomoy Regional School District,7120000,"1,348",13.4,"1,766",5.8,1.4,8.8,77.6,0.5,0.2,5.7
Monson,1910000,547,13.5,844,1.3,1.4,6,87.4,0.1,0.2,3.4
Montachusett Regional Vocational Technical,8320000,638,17.8,"1,401",2.1,1.8,17.1,74.9,0,0,4.2
Mount Greylock,7150000,995,9.3,"1,079",2.4,1.9,4.9,86.1,0,0,4.7
Mystic Valley Regional Charter (District),4700000,775,24,"1,609",18.2,25.1,9.9,41.8,0.3,0,4.8
Nahant,1960000,74,16.2,155,0.7,0.7,7.1,85.2,0,0,6.5
Nantucket,1970000,917,16.1,"1,688",9.3,1.6,36.4,48.2,0.1,0,4.4
Narragansett,7200000,598,17.4,"1,349",0.7,0.3,7.9,87.6,0.1,0.1,3.5
Nashoba,7250000,"1,745",13.3,"3,108",1.4,3.7,6.7,85.1,0.1,0.1,2.9
Nashoba Valley Regional Vocational Technical,8520000,461,11.9,710,2.3,2,7.5,84.8,0.3,0.1,3.1
Natick,1980000,"2,569",17.9,"5,291",2.8,10.5,6.9,74.2,0.1,0,5.5
Nauset,6600000,"1,070",13.6,"1,410",5.3,2.1,5.3,84.5,0.1,0.1,2.6
Needham,1990000,"2,482",16.4,"5,527",3.2,10.5,6.1,74.5,0.1,0.1,5.6
Neighborhood House Charter (District),4440000,364,16.7,795,52.8,2.5,25.8,13,0.8,0,5.2
New Bedford,2010000,"6,457",17,"12,685",13.5,0.8,41.8,38.1,0.3,0.1,5.4
New Heights Charter School of Brockton (District),35130000,190,24,636,87.7,0.6,7.1,1.4,0.2,0,3
New Salem-Wendell,7280000,79,16.4,131,0,0,4.6,87.8,0,0,7.6
Newburyport,2040000,"1,712",14,"2,150",0.9,1.9,4.3,90.3,0,0,2.6
Newton,2070000,"5,815",17.1,"12,121",4.6,20.1,8.6,58.9,0.1,0.1,7.7
Norfolk,2080000,243,22.3,987,0.7,2.4,3.3,90.6,0,0,2.9
Norfolk County Agricultural,9150000,445,16.7,586,1.2,1.2,1.4,91,0.3,0.3,4.6
North Adams,2090000,555,14.9,"1,300",2.3,0.5,6.9,81.2,0.4,0.3,8.4
North Andover,2110000,"3,044",18,"4,559",2.9,7.6,13.5,72.5,0.1,0.1,3.3
North Attleborough,2120000,"2,158",15.6,"3,991",4.4,7.6,5.3,78.4,0.2,0.1,4
North Brookfield,2150000,230,11.2,516,1,0.6,7.2,87,0,0,4.3
North Middlesex,7350000,"1,579",18.6,"2,941",2,1.9,5.3,87.5,0.1,0,3.2
North Reading,2170000,"1,297",17.3,"2,313",0.7,4.7,4.2,87.2,0,0,3.2
Northampton,2100000,"1,207",16.8,"2,648",3.2,3.1,16.6,69.9,0.2,0,7
Northampton-Smith Vocational Agricultural,4060000,429,12.4,535,1.5,0.6,12.9,83.2,0,0.2,1.7
Northboro-Southboro,7300000,802,14.6,"1,357",1.6,12.3,6.6,74.5,0.4,0.4,4.2
Northborough,2130000,610,15.8,"1,531",1.4,12.6,9.7,70.2,0.5,2.3,3.4
Northbridge,2140000,804,17.8,"1,971",1.1,0.8,9.2,83.7,0.1,0.1,5.1
Northeast Metropolitan Regional Vocational Technical,8530000,"1,502",11.5,"1,292",3.2,0.9,33.7,60.3,0.1,0.2,1.8
Northern Berkshire Regional Vocational Technical,8510000,441,11.1,501,0.8,0.6,1.4,95.4,0,0,1.8
Norton,2180000,"1,341",15.9,"2,403",2.3,1.9,4,88.1,0.2,0,3.6
Norwell,2190000,952,14.9,"2,223",0.3,2.2,1.5,92.3,0,0.1,3.6
Norwood,2200000,"2,751",8.6,"3,425",10.6,8.3,17.1,60.5,0.1,0.6,2.8
Oak Bluffs,2210000,198,16.7,448,3.4,1.3,32.1,55.8,1.1,0,6.3
Old Colony Regional Vocational Technical,8550000,248,16.6,553,0.5,0.9,2.2,93.7,0.2,0,2.5
Old Rochester,7400000,"1,240",8.8,"1,136",2.3,1.4,1.9,89.4,0.1,0,4.9
