DISTRICT,Org Code,PK-2 (# ),3-5 (# ),6-8 (# ),9-12 (# ),Multiple Grades (# ),All Grades (# ),FTE Count
Seekonk,02650000,28.2,22.5,43.2,47.9,1.4,22.6,165.8
Sharon,02660000,44.9,43.4,61.8,54.8,39.6,0.3,244.8
Shawsheen Valley Regional Vocational Technical,08710000,0,0,0,124.6,0,0,124.6
Sherborn,02690000,14.6,13.6,0,0,5,0.3,33.5
Shrewsbury,02710000,71.6,72.5,95.9,59.9,101,0,400.8
Shutesbury,02720000,6.5,6.1,2,0,1,0,15.6
Silver Lake,07600000,5.1,0,37.3,51.6,33.3,6.3,133.6
Sizer School: A North Central Charter Essential (District),04740000,0,0,7.9,10.3,20.6,0,38.7
Somerset,02730000,37.2,39.6,44.2,0,1,2,124.1
Somerset Berkley Regional School District,07630000,0,0,0,74,3,0.1,77.2
Somerville,02740000,101,74.8,81.1,116.7,46.5,4.1,424.1
South Hadley,02780000,31.8,26.6,24.9,16.7,41.9,0,142
South Middlesex Regional Vocational Technical,08290000,0,0,0,83.1,0,0,83.1
South Shore Charter Public (District),04880000,24.8,21,23.9,31.7,0,0,101.4
South Shore Regional Vocational Technical,08730000,0,0,0,54.2,6,0,60.2
Southampton,02750000,14.5,12.3,4.3,0,7.3,0,38.4
Southborough,02760000,34.2,33.2,36.3,0,3.6,0,107.3
Southbridge,02770000,35.7,39.4,38.5,40.7,1,1.5,156.8
Southeastern Regional Vocational Technical,08720000,0,0,0,110.3,3,2,115.3
Southern Berkshire,07650000,13.9,12.6,14.1,25,8,0,73.7
Southern Worcester County Regional Vocational Technical,08760000,0,0,0,110.2,0,0,110.2
Southwick-Tolland-Granville Regional School District,07660000,28.9,21,31.5,34.8,0.5,8,124.7
Spencer-E Brookfield,07670000,26.3,23,21.3,24.2,9.7,0,104.4
Springfield,02810000,419.7,345.5,384.2,396.8,207.4,343.3,"2,096.70"
Springfield Preparatory Charter School (District),35100000,13.2,13.2,4,0,1,0,31.4
Stoneham,02840000,40.1,38.4,49.5,20.9,58.4,0,207.3
Stoughton,02850000,60.5,54.9,57,45.5,73.8,8.4,300.1
Sturbridge,02870000,29.2,21.4,8.1,0,13.5,0,72.2
Sturgis Charter Public (District),04890000,0,0,0,84.3,7.5,0,91.8
Sudbury,02880000,47.9,47,59.1,0,42.5,4.4,200.9
Sunderland,02890000,7.7,7,1.4,0,7,0,23.1
Sutton,02900000,19.5,22,19.9,29.4,0,1.8,92.6
Swampscott,02910000,32.7,33.8,46.2,56.8,12,4.3,185.7
Swansea,02920000,35.6,31.8,41.8,45.4,6,1.3,161.8
TEC Connections Academy Commonwealth Virtual School District,39020000,7,9.9,17.8,37.1,0,15,86.9
Tantasqua,07700000,0,0,45.7,83.5,1.1,1,131.3
Taunton,02930000,127.6,117.5,125.9,100.3,60,0,531.2
Tewksbury,02950000,57,56.8,59.4,64.7,11.5,3.2,252.6
Tisbury,02960000,10.2,10,9.4,0,10.3,0,39.8
Topsfield,02980000,21.6,20.9,7.3,0,5.9,0,55.7
Tri-County Regional Vocational Technical,08780000,0,0,0,84.2,0,0,84.2
Triton,07730000,30.1,28.3,34.5,53.8,35.1,12.8,194.5
Truro,03000000,5.1,4.1,0,0,5,0,14.2
Tyngsborough,03010000,20.9,22.7,34.1,11.9,34.6,0,124.2
UP Academy Charter School of Boston (District),04800000,0,0,34.3,0,1,0,35.3
UP Academy Charter School of Dorchester (District),35050000,16,14.8,14.9,0,0,0,45.7
Up-Island Regional,07740000,9.2,8.3,19,0,13.4,0,50
Upper Cape Cod Regional Vocational Technical,08790000,0,0,0,71.4,0.2,0,71.7
Uxbridge,03040000,29.6,24.5,29.3,38.5,11.6,1.7,135.1
Veritas Preparatory Charter School (District),04980000,0,9,22,0,0,0,31
Wachusett,07750000,104.3,94.7,111,106.1,36,1.6,453.6
Wakefield,03050000,51.5,58.4,63.1,69.1,23.6,0,265.6
Wales,03060000,4.2,3.2,1.1,0,1,0,9.5
Walpole,03070000,55.4,46.1,67,86.7,24.1,3.2,282.5
